CL		37
GH		1
BD		81
DK	true	1
HR		82
KE		2
MW		1
NU	true	1
BE		640
CN		46
JP	true	3
MX		2920
NL	true	75
PK		10
CO		13
MY		78
PL		274
TH		288
BG		25
HU		153
PL	true	3
ZW		2
DZ		4
GB	true	130
HK	true	1
IT	true	5
RU	true	3
SA		7
US		3080965
CR		15998
LS		1
LT		11
LU		344
CU		19
LV		12
PR		5
SE		4682
TN		7
CA	true	145
ES	true	11
FI		69
GR		5695
JE		234
NA		3
PS		3
TO		583
AE		359
PT		82
SG		1185
UY		6
BO		8
GT		1
LY		1163
NC		1
PT	true	2
SH		1
AG		1
CY		3
EC		4
OM		3
SI		101
TR		4419
CZ		144
FM		4
KR		2018
PW		3
BR		5013
DE	true	88
EE		43
SK		15
TT		123
VG	true	3
BR	true	27
BS		1
PY		4
SK	true	1
BT		1
EG		2450
TV		272
		261261
AL		4
ID		2523
JM		4
NI		1
SN		2
TW		51
VA		15
AM		3
FR		8026
IE		13173
KW		1
MA		3
BW		28
FR	true	7
JO		1
JP		2616
KY		18
NL		6428
TO	true	1
TZ		1
BY		3
KZ		5
MD		5
VE		3777
ZA		1710
BZ		2
ME		3
QA		3
AR		9568
DE		14155
NO		1046
VG		2291
NP		1
AT		170
IL		168
SV		2
US	true	87592
AU		12062
IM		2
UA		45
WS		19
AU	true	2
IN		3097
LA		2
RO		61
UA	true	1
CA		42354
ES		3660
IO		1239
LB		3
MK		1
SY		1
DK		2829
ET		1
NU		1
SE	true	1
CC		16
VN		1199
DM		3
IR		65
MN		4
PA		1288
RS		8
IS		118
UG		3
GB		120745
HK		1023
IT		5202
RU		3425
TR	true	4
ZM		1
NZ		450
CH		5547
PE		11
AT	true	1
CI		2
GE		8
HN		7
BA		6
LK		3
MT		8
PG		1
VU		4
	true	9737
MU		52
PH		13
